Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
2021-03-22,2021-03-26,transbridge,12.0,354.0
2021-03-29,2021-04-02,academy,36.0,644.0
2021-03-29,2021-04-02,cjbuslines,0.0,0.0
2021-03-29,2021-04-02,coachusa,84.0,1626.0
2021-03-29,2021-04-02,decamp,0.0,0.0
2021-03-29,2021-04-02,greyhound,40.0,1310.0
2021-03-29,2021-04-02,hceecommunity,89.0,1234.0
2021-03-29,2021-04-02,lakeland,13.0,297.0
2021-03-29,2021-04-02,martz,14.0,516.0
2021-03-29,2021-04-02,njtransit,2120.0,28648.0
2021-03-29,2021-04-02,peterpanbonanza,18.0,620.0
2021-03-29,2021-04-02,trailways,13.0,371.0
2021-03-29,2021-04-02,transbridge,12.0,374.0
2021-04-05,2021-04-09,academy,36.0,628.0
2021-04-05,2021-04-09,cjbuslines,0.0,0.0
2021-04-05,2021-04-09,coachusa,83.0,1748.0
2021-04-05,2021-04-09,decamp,0.0,0.0
2021-04-05,2021-04-09,greyhound,44.0,1343.0
2021-04-05,2021-04-09,hceecommunity,89.0,1234.0
2021-04-05,2021-04-09,lakeland,14.0,283.0
2021-04-05,2021-04-09,martz,14.0,498.0
2021-04-05,2021-04-09,njtransit,2226.0,30200.0
2021-04-05,2021-04-09,peterpanbonanza,16.0,518.0
2021-04-05,2021-04-09,trailways,15.0,381.0
2021-04-05,2021-04-09,transbridge,12.0,369.0
2021-04-12,2021-04-16,academy,36.0,628.0
2021-04-12,2021-04-16,cjbuslines,0.0,0.0
2021-04-12,2021-04-16,coachusa,84.0,1740.0
2021-04-12,2021-04-16,decamp,0.0,0.0
2021-04-12,2021-04-16,greyhound,43.0,1249.0
2021-04-12,2021-04-16,hceecommunity,84.0,1272.0
2021-04-12,2021-04-16,lakeland,14.0,298.0
2021-04-12,2021-04-16,martz,14.0,509.0
2021-04-12,2021-04-16,njtransit,2247.0,29680.0
2021-04-12,2021-04-16,peterpanbonanza,16.0,399.0
2021-04-12,2021-04-16,trailways,13.0,336.0
2021-04-12,2021-04-16,transbridge,12.0,357.0
2021-04-19,2021-04-23,academy,36.0,710.0
2021-04-19,2021-04-23,cjbuslines,0.0,0.0
2021-04-19,2021-04-23,coachusa,81.0,1714.0
2021-04-19,2021-04-23,decamp,0.0,0.0
2021-04-19,2021-04-23,greyhound,46.0,1255.0
2021-04-19,2021-04-23,hceecommunity,93.0,1275.0
2021-04-19,2021-04-23,lakeland,14.0,313.0
2021-04-19,2021-04-23,martz,14.0,504.0
2021-04-19,2021-04-23,njtransit,2123.0,31549.0
2021-04-19,2021-04-23,peterpanbonanza,16.0,478.0
2021-04-19,2021-04-23,trailways,13.0,328.0
2021-04-19,2021-04-23,transbridge,12.0,365.0
2021-04-26,2021-04-30,academy,36.0,710.0
2021-04-26,2021-04-30,cjbuslines,0.0,0.0
2021-04-26,2021-04-30,coachusa,84.0,1793.0
2021-04-26,2021-04-30,decamp,0.0,0.0
2021-04-26,2021-04-30,greyhound,41.0,1146.0
2021-04-26,2021-04-30,hceecommunity,90.0,1210.0
2021-04-26,2021-04-30,lakeland,14.0,322.0
2021-04-26,2021-04-30,martz,14.0,502.0
2021-04-26,2021-04-30,njtransit,2263.0,32474.0
2021-04-26,2021-04-30,peterpanbonanza,16.0,456.0
2021-04-26,2021-04-30,trailways,13.0,324.0
2021-04-26,2021-04-30,transbridge,12.0,369.0
2021-05-03,2021-05-07,academy,36.0,689.0
2021-05-03,2021-05-07,cjbuslines,0.0,0.0
2021-05-03,2021-05-07,coachusa,85.0,1846.0
2021-05-03,2021-05-07,decamp,0.0,0.0
2021-05-03,2021-05-07,greyhound,40.0,1161.0
2021-05-03,2021-05-07,hceecommunity,91.0,1069.0
2021-05-03,2021-05-07,lakeland,14.0,331.0
2021-05-03,2021-05-07,martz,14.0,518.0
2021-05-03,2021-05-07,njtransit,2234.0,31768.0
2021-05-03,2021-05-07,peterpanbonanza,19.0,504.0
2021-05-03,2021-05-07,trailways,13.0,353.0
2021-05-03,2021-05-07,transbridge,12.0,373.0
2021-05-10,2021-05-14,academy,36.0,689.0
2021-05-10,2021-05-14,cjbuslines,0.0,0.0
2021-05-10,2021-05-14,coachusa,84.0,1906.0
2021-05-10,2021-05-14,decamp,0.0,0.0
2021-05-10,2021-05-14,greyhound,41.0,1228.0
2021-05-10,2021-05-14,hceecommunity,85.0,1369.0
2021-05-10,2021-05-14,lakeland,14.0,350.0
2021-05-10,2021-05-14,martz,14.0,528.0
2021-05-10,2021-05-14,njtransit,2227.0,32304.0
2021-05-10,2021-05-14,peterpanbonanza,20.0,632.0
2021-05-10,2021-05-14,trailways,14.0,383.0
2021-05-10,2021-05-14,transbridge,12.0,386.0
2021-05-17,2021-05-21,academy,36.0,699.0
2021-05-17,2021-05-21,cjbuslines,0.0,0.0
2021-05-17,2021-05-21,coachusa,84.0,1929.0
2021-05-17,2021-05-21,decamp,0.0,0.0
2021-05-17,2021-05-21,greyhound,43.0,1277.0
2021-05-17,2021-05-21,hceecommunity,88.0,1322.0
2021-05-17,2021-05-21,lakeland,14.0,374.0
2021-05-17,2021-05-21,martz,14.0,541.0
2021-05-17,2021-05-21,njtransit,2118.0,33781.0
2021-05-17,2021-05-21,peterpanbonanza,24.0,740.0
2021-05-17,2021-05-21,trailways,13.0,405.0
2021-05-17,2021-05-21,transbridge,12.0,399.0
2021-05-24,2021-05-28,academy,36.0,699.0
2021-05-24,2021-05-28,cjbuslines,0.0,0.0
2021-05-24,2021-05-28,coachusa,86.0,2003.0
2021-05-24,2021-05-28,decamp,0.0,0.0
2021-05-24,2021-05-28,greyhound,51.0,1492.0
2021-05-24,2021-05-28,hceecommunity,88.0,1322.0
2021-05-24,2021-05-28,lakeland,14.0,395.0
2021-05-24,2021-05-28,martz,15.0,570.0
2021-05-24,2021-05-28,njtransit,2245.0,34615.0
2021-05-24,2021-05-28,peterpanbonanza,21.0,619.0
2021-05-24,2021-05-28,trailways,15.0,409.0
2021-05-24,2021-05-28,transbridge,12.0,426.0
2021-05-31,2021-06-04,academy,36.0,763.0
2021-05-31,2021-06-04,cjbuslines,0.0,0.0
2021-05-31,2021-06-04,coachusa,87.0,2076.0
2021-05-31,2021-06-04,decamp,0.0,0.0
2021-05-31,2021-06-04,greyhound,54.0,1494.0
2021-05-31,2021-06-04,hceecommunity,88.0,1322.0
2021-05-31,2021-06-04,lakeland,14.0,403.0
2021-05-31,2021-06-04,martz,15.0,573.0
2021-05-31,2021-06-04,njtransit,2238.0,35698.0
2021-05-31,2021-06-04,peterpanbonanza,27.4,785.0
2021-05-31,2021-06-04,trailways,16.0,398.0
2021-05-31,2021-06-04,transbridge,12.0,421.0
2021-06-07,2021-06-11,academy,36.0,763.0
2021-06-07,2021-06-11,cjbuslines,0.0,0.0
2021-06-07,2021-06-11,coachusa,90.0,2172.0
2021-06-07,2021-06-11,decamp,0.0,0.0
2021-06-07,2021-06-11,greyhound,51.0,1384.0
2021-06-07,2021-06-11,hceecommunity,96.0,1446.0
2021-06-07,2021-06-11,lakeland,19.0,445.0
2021-06-07,2021-06-11,martz,15.0,610.0
2021-06-07,2021-06-11,njtransit,2261.0,35636.0
2021-06-07,2021-06-11,peterpanbonanza,21.0,570.0
2021-06-07,2021-06-11,trailways,15.0,363.0
2021-06-07,2021-06-11,transbridge,13.0,409.0
2021-06-14,2021-06-18,academy,36.0,792.0
2021-06-14,2021-06-18,cjbuslines,0.0,0.0
2021-06-14,2021-06-18,coachusa,91.0,2306.0
