Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
22/03/21,26/03/21,trailways,11,268
22/03/21,26/03/21,transbridge,12,354
29/03/21,02/04/21,academy,36,644
29/03/21,02/04/21,cjbuslines,0,0
29/03/21,02/04/21,coachusa,84,1626
29/03/21,02/04/21,decamp,0,0
29/03/21,02/04/21,greyhound,40,1310
29/03/21,02/04/21,hceecommunity,89,1234
29/03/21,02/04/21,lakeland,13,297
29/03/21,02/04/21,martz,14,516
29/03/21,02/04/21,njtransit,2120,28648
29/03/21,02/04/21,peterpanbonanza,18,620
29/03/21,02/04/21,trailways,13,371
29/03/21,02/04/21,transbridge,12,374
05/04/21,09/04/21,academy,36,628
05/04/21,09/04/21,cjbuslines,0,0
05/04/21,09/04/21,coachusa,83,1748
05/04/21,09/04/21,decamp,0,0
05/04/21,09/04/21,greyhound,44,1343
05/04/21,09/04/21,hceecommunity,89,1234
05/04/21,09/04/21,lakeland,14,283
05/04/21,09/04/21,martz,14,498
05/04/21,09/04/21,njtransit,2226,30200
05/04/21,09/04/21,peterpanbonanza,16,518
05/04/21,09/04/21,trailways,15,381
05/04/21,09/04/21,transbridge,12,369
12/04/21,16/04/21,academy,36,628
12/04/21,16/04/21,cjbuslines,0,0
12/04/21,16/04/21,coachusa,84,1740
12/04/21,16/04/21,decamp,0,0
12/04/21,16/04/21,greyhound,43,1249
12/04/21,16/04/21,hceecommunity,84,1272
12/04/21,16/04/21,lakeland,14,298
12/04/21,16/04/21,martz,14,509
12/04/21,16/04/21,njtransit,2247,29680
12/04/21,16/04/21,peterpanbonanza,16,399
12/04/21,16/04/21,trailways,13,336
12/04/21,16/04/21,transbridge,12,357
19/04/21,23/04/21,academy,36,710
19/04/21,23/04/21,cjbuslines,0,0
19/04/21,23/04/21,coachusa,81,1714
19/04/21,23/04/21,decamp,0,0
19/04/21,23/04/21,greyhound,46,1255
19/04/21,23/04/21,hceecommunity,93,1275
19/04/21,23/04/21,lakeland,14,313
19/04/21,23/04/21,martz,14,504
19/04/21,23/04/21,njtransit,2123,31549
19/04/21,23/04/21,peterpanbonanza,16,478
19/04/21,23/04/21,trailways,13,328
19/04/21,23/04/21,transbridge,12,365
26/04/21,30/04/21,academy,36,710
26/04/21,30/04/21,cjbuslines,0,0
26/04/21,30/04/21,coachusa,84,1793
26/04/21,30/04/21,decamp,0,0
26/04/21,30/04/21,greyhound,41,1146
26/04/21,30/04/21,hceecommunity,90,1210
26/04/21,30/04/21,lakeland,14,322
26/04/21,30/04/21,martz,14,502
26/04/21,30/04/21,njtransit,2263,32474
26/04/21,30/04/21,peterpanbonanza,16,456
26/04/21,30/04/21,trailways,13,324
26/04/21,30/04/21,transbridge,12,369
03/05/21,07/05/21,academy,36,689
03/05/21,07/05/21,cjbuslines,0,0
03/05/21,07/05/21,coachusa,85,1846
03/05/21,07/05/21,decamp,0,0
03/05/21,07/05/21,greyhound,40,1161
03/05/21,07/05/21,hceecommunity,91,1069
03/05/21,07/05/21,lakeland,14,331
03/05/21,07/05/21,martz,14,518
03/05/21,07/05/21,njtransit,2234,31768
03/05/21,07/05/21,peterpanbonanza,19,504
03/05/21,07/05/21,trailways,13,353
03/05/21,07/05/21,transbridge,12,373
10/05/21,14/05/21,academy,36,689
10/05/21,14/05/21,cjbuslines,0,0
10/05/21,14/05/21,coachusa,84,1906
10/05/21,14/05/21,decamp,0,0
10/05/21,14/05/21,greyhound,41,1228
10/05/21,14/05/21,hceecommunity,85,1369
10/05/21,14/05/21,lakeland,14,350
10/05/21,14/05/21,martz,14,528
10/05/21,14/05/21,njtransit,2227,32304
10/05/21,14/05/21,peterpanbonanza,20,632
10/05/21,14/05/21,trailways,14,383
10/05/21,14/05/21,transbridge,12,386
17/05/21,21/05/21,academy,36,699
17/05/21,21/05/21,cjbuslines,0,0
