Start_Date	End_Date	Carrier	Volume
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	Coach USA	2306
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	TransBridge	440
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	Peter Pan_Bonanza	674
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	DeCamp	87
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	HCEE - Community	1346
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	C&J Bus Lines	0
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Academy	789
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Greyhound	1535
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Martz	635
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	NJTransit	39951
2021-06-21 00:00:00.000	2021-06-25 00:00:00.000	Lakeland	505
2021-08-23 00:00:00.000	2021-08-27 00:00:00.000	C&J Bus Lines	0
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	Academy	799
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	Greyhound	1687
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	Martz	622
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	NJTransit	36433
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	Lakeland	521
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	Trailways	498
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	Coach USA	2521
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	TransBridge	420
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	Peter Pan_Bonanza	709
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	DeCamp	199
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	HCEE - Community	1426
2021-08-30 00:00:00.000	2021-09-03 00:00:00.000	C&J Bus Lines	0
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	Academy	791
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	Greyhound	1707
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	Martz	679
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	NJTransit	41099
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	Lakeland	604
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	Trailways	680
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	Coach USA	2864
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	TransBridge	500
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	Peter Pan_Bonanza	776
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	DeCamp	218
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	HCEE - Community	1441
2021-09-06 00:00:00.000	2021-09-10 00:00:00.000	C&J Bus Lines	0
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	Academy	952
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	Greyhound	1388
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	Martz	693
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	NJTransit	45441
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	Lakeland	674
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	Trailways	370
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	Coach USA	3155
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	TransBridge	525
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	Peter Pan_Bonanza	618
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	DeCamp	257
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	HCEE - Community	1534
2021-09-13 00:00:00.000	2021-09-17 00:00:00.000	C&J Bus Lines	0
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	Academy	1007
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	Greyhound	1351
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	Martz	695
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	NJTransit	45660
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	Lakeland	673
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	Trailways	397
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	Coach USA	3321
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	TransBridge	547
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	Peter Pan_Bonanza	689
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	DeCamp	264
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	HCEE - Community	1600
2021-09-20 00:00:00.000	2021-09-24 00:00:00.000	C&J Bus Lines	0
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	Academy	970
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	Greyhound	1306
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	Martz	688
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	NJTransit	45840
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	Lakeland	692
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	Trailways	395
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	Coach USA	3351
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	TransBridge	527
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	Peter Pan_Bonanza	761
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	DeCamp	274
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	HCEE - Community	1600
2021-09-27 00:00:00.000	2021-10-01 00:00:00.000	C&J Bus Lines	0
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	Academy	1016
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	Greyhound	1219
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	Martz	708
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	NJTransit	48102
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	Lakeland	710
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	Trailways	411
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	Coach USA	3498
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	TransBridge	575
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	Peter Pan_Bonanza	720
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	DeCamp	277
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	HCEE - Community	1555
2021-10-04 00:00:00.000	2021-10-08 00:00:00.000	C&J Bus Lines	0
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	Academy	1052
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	Greyhound	1538
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	Martz	755
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	NJTransit	48954
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	Lakeland	785
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	Trailways	879
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	Coach USA	3623
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	TransBridge	596
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	Peter Pan_Bonanza	922
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	DeCamp	288
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	HCEE - Community	1660
2021-10-11 00:00:00.000	2021-10-15 00:00:00.000	C&J Bus Lines	0
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	Academy	1063
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	Greyhound	1300
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	Martz	735
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	NJTransit	49531
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	Lakeland	759
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	Trailways	482
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	Coach USA	3626
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	TransBridge	557
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	Peter Pan_Bonanza	763
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	DeCamp	277
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	HCEE - Community	1579
2021-10-18 00:00:00.000	2021-10-22 00:00:00.000	C&J Bus Lines	0
2021-10-25 00:00:00.000	2021-10-29 00:00:00.000	Academy	1015
2021-10-25 00:00:00.000	2021-10-29 00:00:00.000	Greyhound	1230
2021-10-25 00:00:00.000	2021-10-29 00:00:00.000	Martz	715
2021-10-25 00:00:00.000	2021-10-29 00:00:00.000	NJTransit	50615
