Start_Date	End_Date	Carrier	Volume
06/12/2021	10/12/2021	C & J Bus Lines	0
06/12/2021	10/12/2021	Coach USA	128
06/12/2021	10/12/2021	DeCamp	37
06/12/2021	10/12/2021	Greyhound	54
06/12/2021	10/12/2021	HCEE - Community	94
06/12/2021	10/12/2021	Lakeland	29
06/12/2021	10/12/2021	Martz	18
06/12/2021	10/12/2021	NJ Transit	2149
06/12/2021	10/12/2021	Peter Pan_Bonanza	28
06/12/2021	10/12/2021	Trailways	19
06/12/2021	10/12/2021	TransBridge	18
13/12/2021	17/12/2021	Academy	35
13/12/2021	17/12/2021	C & J Bus Lines	0
13/12/2021	17/12/2021	Coach USA	127
13/12/2021	17/12/2021	DeCamp	37
13/12/2021	17/12/2021	Greyhound	55
13/12/2021	17/12/2021	HCEE - Community	96
13/12/2021	17/12/2021	Lakeland	29
13/12/2021	17/12/2021	Martz	18
13/12/2021	17/12/2021	NJ Transit	2154
13/12/2021	17/12/2021	Peter Pan_Bonanza	29
13/12/2021	17/12/2021	Trailways	19
13/12/2021	17/12/2021	TransBridge	18
20/12/2021	24/12/2021	Academy	36
20/12/2021	24/12/2021	C & J Bus Lines	0
20/12/2021	24/12/2021	Coach USA	128
20/12/2021	24/12/2021	DeCamp	37
20/12/2021	24/12/2021	Greyhound	55
20/12/2021	24/12/2021	HCEE - Community	96
20/12/2021	24/12/2021	Lakeland	25
20/12/2021	24/12/2021	Martz	17
20/12/2021	24/12/2021	NJ Transit	1977
20/12/2021	24/12/2021	Peter Pan_Bonanza	25
20/12/2021	24/12/2021	Trailways	18
20/12/2021	24/12/2021	TransBridge	17
27/12/2021	31/12/2021	Academy	0
27/12/2021	31/12/2021	C & J Bus Lines	0
27/12/2021	31/12/2021	Coach USA	0
27/12/2021	31/12/2021	DeCamp	0
27/12/2021	31/12/2021	Greyhound	0
27/12/2021	31/12/2021	HCEE - Community	0
27/12/2021	31/12/2021	Lakeland	0
27/12/2021	31/12/2021	Martz	0
27/12/2021	31/12/2021	NJ Transit	0
27/12/2021	31/12/2021	Peter Pan_Bonanza	0
27/12/2021	31/12/2021	Trailways	0
27/12/2021	31/12/2021	TransBridge	0
03/01/2022	07/01/2022	Academy	36
03/01/2022	07/01/2022	C & J Bus Lines	0
03/01/2022	07/01/2022	Coach USA	128
03/01/2022	07/01/2022	DeCamp	37
03/01/2022	07/01/2022	Greyhound	44
03/01/2022	07/01/2022	HCEE - Community	84
07/03/2022	11/03/2022	TransBridge	18
14/03/2022	18/03/2022	Academy	35
14/03/2022	18/03/2022	C & J Bus Lines	0
14/03/2022	18/03/2022	Coach USA	129
14/03/2022	18/03/2022	DeCamp	37
14/03/2022	18/03/2022	Greyhound	45
14/03/2022	18/03/2022	HCEE - Community	86
14/03/2022	18/03/2022	Lakeland	30
14/03/2022	18/03/2022	Martz	17
14/03/2022	18/03/2022	NJ Transit	2156
14/03/2022	18/03/2022	Peter Pan_Bonanza	24
14/03/2022	18/03/2022	Trailways	19
14/03/2022	18/03/2022	TransBridge	18
21/03/2022	25/03/2022	Academy	35
21/03/2022	25/03/2022	C & J Bus Lines	0
21/03/2022	25/03/2022	Coach USA	131
21/03/2022	25/03/2022	DeCamp	37
21/03/2022	25/03/2022	Greyhound	45
21/03/2022	25/03/2022	HCEE - Community	86
21/03/2022	25/03/2022	Lakeland	29
21/03/2022	25/03/2022	Martz	18
21/03/2022	25/03/2022	NJ Transit	2157
21/03/2022	25/03/2022	Peter Pan_Bonanza	24
21/03/2022	25/03/2022	Trailways	20
21/03/2022	25/03/2022	TransBridge	18
28/03/2022	01/04/2022	Academy	35
28/03/2022	01/04/2022	C & J Bus Lines	0
28/03/2022	01/04/2022	Coach USA	130
28/03/2022	01/04/2022	DeCamp	37
28/03/2022	01/04/2022	Greyhound	46
28/03/2022	01/04/2022	HCEE - Community	85
28/03/2022	01/04/2022	Lakeland	28
28/03/2022	01/04/2022	Martz	18
28/03/2022	01/04/2022	NJ Transit	2141
28/03/2022	01/04/2022	Peter Pan_Bonanza	23
28/03/2022	01/04/2022	Trailways	20
28/03/2022	01/04/2022	TransBridge	18
04/04/2022	08/04/2022	Academy	35
04/04/2022	08/04/2022	C & J Bus Lines	0
04/04/2022	08/04/2022	Coach USA	133
04/04/2022	08/04/2022	DeCamp	39
04/04/2022	08/04/2022	Greyhound	46
04/04/2022	08/04/2022	HCEE - Community	86
04/04/2022	08/04/2022	Lakeland	28
04/04/2022	08/04/2022	Martz	18
04/04/2022	08/04/2022	NJ Transit	2142
04/04/2022	08/04/2022	Peter Pan_Bonanza	23
04/04/2022	08/04/2022	Trailways	19
04/04/2022	08/04/2022	TransBridge	19
11/04/2022	15/04/2022	Academy	35
11/04/2022	15/04/2022	C & J Bus Lines	0
11/04/2022	15/04/2022	Coach USA	133
11/04/2022	15/04/2022	DeCamp	40
11/04/2022	15/04/2022	Greyhound	47
11/04/2022	15/04/2022	HCEE - Community	87
11/04/2022	15/04/2022	Lakeland	30
11/04/2022	15/04/2022	Martz	18
11/04/2022	15/04/2022	NJ Transit	2156
11/04/2022	15/04/2022	Peter Pan_Bonanza	26
11/04/2022	15/04/2022	Trailways	19
11/04/2022	15/04/2022	TransBridge	19
18/04/2022	22/04/2022	Academy	33
18/04/2022	22/04/2022	C & J Bus Lines	0
18/04/2022	22/04/2022	Coach USA	129
18/04/2022	22/04/2022	DeCamp	40
18/04/2022	22/04/2022	Greyhound	48
18/04/2022	22/04/2022	HCEE - Community	84
18/04/2022	22/04/2022	Lakeland	30
18/04/2022	22/04/2022	Martz	18
18/04/2022	22/04/2022	NJ Transit	2165
18/04/2022	22/04/2022	Peter Pan_Bonanza	29
18/04/2022	22/04/2022	Trailways	22
18/04/2022	22/04/2022	TransBridge	19
25/04/2022	29/04/2022	Academy	34
25/04/2022	29/04/2022	C & J Bus Lines	0
25/04/2022	29/04/2022	Coach USA	133
25/04/2022	29/04/2022	DeCamp	40
25/04/2022	29/04/2022	Greyhound	47
25/04/2022	29/04/2022	HCEE - Community	84
25/04/2022	29/04/2022	Lakeland	30
25/04/2022	29/04/2022	Martz	18
25/04/2022	29/04/2022	NJ Transit	2148
25/04/2022	29/04/2022	Peter Pan_Bonanza	25
25/04/2022	29/04/2022	Trailways	20
25/04/2022	29/04/2022	TransBridge	19
02/05/2022	06/05/2022	Academy	35
02/05/2022	06/05/2022	C & J Bus Lines	0
02/05/2022	06/05/2022	Coach USA	135
02/05/2022	06/05/2022	DeCamp	40
02/05/2022	06/05/2022	Greyhound	46
02/05/2022	06/05/2022	HCEE - Community	79
02/05/2022	06/05/2022	Lakeland	30
02/05/2022	06/05/2022	Martz	17
02/05/2022	06/05/2022	NJ Transit	2146
02/05/2022	06/05/2022	Peter Pan_Bonanza	24
02/05/2022	06/05/2022	Trailways	20
02/05/2022	06/05/2022	TransBridge	19
09/05/2022	13/05/2022	Academy	35
09/05/2022	13/05/2022	C & J Bus Lines	0
09/05/2022	13/05/2022	Coach USA	132
09/05/2022	13/05/2022	DeCamp	40
09/05/2022	13/05/2022	Greyhound	46
09/05/2022	13/05/2022	HCEE - Community	87
09/05/2022	13/05/2022	Lakeland	30
09/05/2022	13/05/2022	Martz	18
09/05/2022	13/05/2022	NJ Transit	2148
09/05/2022	13/05/2022	Peter Pan_Bonanza	25
09/05/2022	13/05/2022	Trailways	21
09/05/2022	13/05/2022	TransBridge	19
16/05/2022	20/05/2022	Academy	35
16/05/2022	20/05/2022	C & J Bus Lines	0
16/05/2022	20/05/2022	Coach USA	131
16/05/2022	20/05/2022	DeCamp	40
18/07/2022	22/07/2022	Peter Pan_Bonanza	31
18/07/2022	22/07/2022	Trailways	26
18/07/2022	22/07/2022	TransBridge	19
25/07/2022	29/07/2022	Academy	34
25/07/2022	29/07/2022	C & J Bus Lines	0
25/07/2022	29/07/2022	Coach USA	139
25/07/2022	29/07/2022	DeCamp	35
25/07/2022	29/07/2022	Greyhound	53
25/07/2022	29/07/2022	HCEE - Community	84
25/07/2022	29/07/2022	Lakeland	29
25/07/2022	29/07/2022	Martz	19
25/07/2022	29/07/2022	NJ Transit	2183
25/07/2022	29/07/2022	Peter Pan_Bonanza	30
25/07/2022	29/07/2022	Trailways	27
25/07/2022	29/07/2022	TransBridge	19
01/08/2022	05/08/2022	Academy	34
01/08/2022	05/08/2022	C & J Bus Lines	0
01/08/2022	05/08/2022	Coach USA	137
01/08/2022	05/08/2022	DeCamp	36
01/08/2022	05/08/2022	Greyhound	51
01/08/2022	05/08/2022	HCEE - Community	88
01/08/2022	05/08/2022	Lakeland	29
01/08/2022	05/08/2022	Martz	19
01/08/2022	05/08/2022	NJ Transit	2202
01/08/2022	05/08/2022	Peter Pan_Bonanza	31
01/08/2022	05/08/2022	Trailways	25
01/08/2022	05/08/2022	TransBridge	19
08/08/2022	12/08/2022	Academy	34
08/08/2022	12/08/2022	C & J Bus Lines	0
08/08/2022	12/08/2022	Coach USA	139
08/08/2022	12/08/2022	DeCamp	36
08/08/2022	12/08/2022	Greyhound	53
08/08/2022	12/08/2022	HCEE - Community	85
08/08/2022	12/08/2022	Lakeland	29
08/08/2022	12/08/2022	Martz	19
08/08/2022	12/08/2022	NJ Transit	2186
08/08/2022	12/08/2022	Peter Pan_Bonanza	31
08/08/2022	12/08/2022	Trailways	27
08/08/2022	12/08/2022	TransBridge	19
15/08/2022	19/08/2022	Academy	34
15/08/2022	19/08/2022	C & J Bus Lines	0
15/08/2022	19/08/2022	Coach USA	138
15/08/2022	19/08/2022	DeCamp	36
15/08/2022	19/08/2022	Greyhound	52
15/08/2022	19/08/2022	HCEE - Community	79
15/08/2022	19/08/2022	Lakeland	29
15/08/2022	19/08/2022	Martz	19
15/08/2022	19/08/2022	NJ Transit	2189
15/08/2022	19/08/2022	Peter Pan_Bonanza	32
15/08/2022	19/08/2022	Trailways	27
15/08/2022	19/08/2022	TransBridge	19
22/08/2022	26/08/2022	Academy	35
22/08/2022	26/08/2022	C & J Bus Lines	0
22/08/2022	26/08/2022	Coach USA	136
22/08/2022	26/08/2022	DeCamp	36
22/08/2022	26/08/2022	Greyhound	52
22/08/2022	26/08/2022	HCEE - Community	87
22/08/2022	26/08/2022	Lakeland	29
22/08/2022	26/08/2022	Martz	19
22/08/2022	26/08/2022	NJ Transit	2187
22/08/2022	26/08/2022	Peter Pan_Bonanza	32
22/08/2022	26/08/2022	Trailways	26
22/08/2022	26/08/2022	TransBridge	19
29/08/2022	02/09/2022	Academy	35
29/08/2022	02/09/2022	C & J Bus Lines	0
29/08/2022	02/09/2022	Coach USA	140
29/08/2022	02/09/2022	DeCamp	36
29/08/2022	02/09/2022	Greyhound	52
29/08/2022	02/09/2022	HCEE - Community	88
29/08/2022	02/09/2022	Lakeland	29
29/08/2022	02/09/2022	Martz	19
29/08/2022	02/09/2022	NJ Transit	2167
29/08/2022	02/09/2022	Peter Pan_Bonanza	31
29/08/2022	02/09/2022	Trailways	26
29/08/2022	02/09/2022	TransBridge	19
05/09/2022	09/09/2022	Academy	33
05/09/2022	09/09/2022	C & J Bus Lines	0
05/09/2022	09/09/2022	Coach USA	137
05/09/2022	09/09/2022	DeCamp	36
05/09/2022	09/09/2022	Greyhound	50
05/09/2022	09/09/2022	HCEE - Community	71
05/09/2022	09/09/2022	Lakeland	29
05/09/2022	09/09/2022	Martz	20
05/09/2022	09/09/2022	NJ Transit	2185
05/09/2022	09/09/2022	Peter Pan_Bonanza	32
05/09/2022	09/09/2022	Trailways	26
05/09/2022	09/09/2022	TransBridge	19
12/09/2022	16/09/2022	Academy	37
12/09/2022	16/09/2022	C & J Bus Lines	0
12/09/2022	16/09/2022	Coach USA	138
12/09/2022	16/09/2022	DeCamp	36
12/09/2022	16/09/2022	Greyhound	50
12/09/2022	16/09/2022	HCEE - Community	85
12/09/2022	16/09/2022	Lakeland	29
12/09/2022	16/09/2022	Martz	21
12/09/2022	16/09/2022	NJ Transit	2201
12/09/2022	16/09/2022	Peter Pan_Bonanza	26
12/09/2022	16/09/2022	Trailways	25
12/09/2022	16/09/2022	TransBridge	18
19/09/2022	23/09/2022	Academy	35
19/09/2022	23/09/2022	C & J Bus Lines	0
19/09/2022	23/09/2022	Coach USA	141
19/09/2022	23/09/2022	DeCamp	36
19/09/2022	23/09/2022	Greyhound	51
19/09/2022	23/09/2022	HCEE - Community	75
19/09/2022	23/09/2022	Lakeland	29
19/09/2022	23/09/2022	Martz	21
19/09/2022	23/09/2022	NJ Transit	2165
19/09/2022	23/09/2022	Peter Pan_Bonanza	24
19/09/2022	23/09/2022	Trailways	25
19/09/2022	23/09/2022	TransBridge	19
26/09/2022	30/09/2022	Academy	35
26/09/2022	30/09/2022	C & J Bus Lines	0
28/11/2022	02/12/2022	Martz	20
28/11/2022	02/12/2022	NJ Transit	2216
28/11/2022	02/12/2022	Peter Pan_Bonanza	26
28/11/2022	02/12/2022	Trailways	24
28/11/2022	02/12/2022	TransBridge	19
05/12/2022	09/12/2022	Academy	35
05/12/2022	09/12/2022	C & J Bus Lines	0
05/12/2022	09/12/2022	Coach USA	148
05/12/2022	09/12/2022	DeCamp	36
05/12/2022	09/12/2022	Greyhound	52
05/12/2022	09/12/2022	HCEE - Community	82
05/12/2022	09/12/2022	Lakeland	30
05/12/2022	09/12/2022	Martz	20
05/12/2022	09/12/2022	NJ Transit	2191
05/12/2022	09/12/2022	Peter Pan_Bonanza	24
05/12/2022	09/12/2022	Trailways	24
05/12/2022	09/12/2022	TransBridge	18
12/12/2022	16/12/2022	Academy	35
12/12/2022	16/12/2022	C & J Bus Lines	0
12/12/2022	16/12/2022	Coach USA	139
12/12/2022	16/12/2022	DeCamp	36
12/12/2022	16/12/2022	Greyhound	51
12/12/2022	16/12/2022	HCEE - Community	81
12/12/2022	16/12/2022	Lakeland	29
12/12/2022	16/12/2022	Martz	19
12/12/2022	16/12/2022	NJ Transit	2200
12/12/2022	16/12/2022	Peter Pan_Bonanza	25
12/12/2022	16/12/2022	Trailways	23
12/12/2022	16/12/2022	TransBridge	18
19/12/2022	23/12/2022	Academy	35
19/12/2022	23/12/2022	C & J Bus Lines	0
19/12/2022	23/12/2022	Coach USA	143
19/12/2022	23/12/2022	DeCamp	36
19/12/2022	23/12/2022	Greyhound	51
19/12/2022	23/12/2022	HCEE - Community	84
19/12/2022	23/12/2022	Lakeland	29
19/12/2022	23/12/2022	Martz	19
19/12/2022	23/12/2022	NJ Transit	2189
19/12/2022	23/12/2022	Peter Pan_Bonanza	33
19/12/2022	23/12/2022	Trailways	23
19/12/2022	23/12/2022	TransBridge	19
26/12/2022	30/12/2022	Academy	21
26/12/2022	30/12/2022	C & J Bus Lines	0
26/12/2022	30/12/2022	Coach USA	137
26/12/2022	30/12/2022	DeCamp	34
